course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
1070968,Antam Medika,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,Antam Medika
1070968,rs antam medika,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,Antam Medika
1070968,RS ANTAM MEDIKA,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,Antam Medika
1070968,rs. antam medika,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,Antam Medika
1070968,rs. antam medika,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,Antam Medika
1070968,RS. ANTAM MEDIKA,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,Antam Medika
1070968,RS. ANTAM MEDIKA,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,Antam Medika
1070968,apotik kimia farma denpasar,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,KIMIA FARMA DENPASAR 34
1070968,klinik & apotek kf 34 denpasar,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,KIMIA FARMA DENPASAR 34
1070968,APOTEK KF 34 DENPASAR,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,KIMIA FARMA DENPASAR 34
1070968,KF 34 DENPASAR,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,KIMIA FARMA DENPASAR 34
1070968,KLINIK KF 34 DENPASAR,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,KIMIA FARMA DENPASAR 34
1070968,KLINIK KF DENPASAR 34 ,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,KIMIA FARMA DENPASAR 34
1070968,KIMIA FARMA DENPASAR 34,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,KIMIA FARMA DENPASAR 34
1070968,APOTIK KIMIA FARMA DENPASAR 34,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,KIMIA FARMA DENPASAR 35
1070968,"SEIS PENTA CITY BALIKPAPAN UPPER GROUND NO.UG-56 JL. JENDRAL SUDIRMAN, KOMPLEK BALIKPAPAN SUPER BLOK",https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,SEIS PENTA CITY BALIKPAPAN
1070968,"optik seis penta city balikpapan    upper ground no.ug-56 jl. jendral sudirman, komplek balikpapan super blok",https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,SEIS PENTA CITY BALIKPAPAN
1070968,SEIS E-WALK BALIKPAPAN UPPER GROUND NO. 39 JL.  JENDRAL SUDIRMAN KOMPLEK BALIKPAPAN SUPER BLOK,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,SEIS E-WALK BALIKPAPAN
1070968,optik seis e-walk balikpapan upper ground no. 39 jl.  jendral sudirman komplek balikpapan super blok,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,SEIS E-WALK BALIKPAPAN
1070968,OPTIK SEIS E-WALK BALIKPAPAN UPPER GROUND NO. 39 JL.  JENDRAL SUDIRMAN KOMPLEK BALIKPAPAN SUPER BLOK,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,SEIS E-WALK BALIKPAPAN
1070968,"OPTIK SEIS PENTA CITY BALIKPAPAN UPPER GROUND NO.UG-56 JL. JENDRAL SUDIRMAN, KOMPLEK BALIKPAPAN SUPER BLOK",https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,2147,23,51,All Levels,1.5 hours,2017-01-18T20:58:58Z,SEIS PENTA CITY BALIKPAPAN
